@relation emotions

@attribute Engagement real
@attribute Excitement real
@attribute Stress real
@attribute Relaxation real
@attribute Interest real
@attribute Focus real 
@attribute Taste {1, 2, 3, 4, 5}

@data
0.578602,0.503859,0.45795,0.434248,0.508349,0.390484,4
0.492981,0.382747,0.426074,0.437017,0.448767,0.326355,4
0.558056,0.300562,0.624182,0.667555,0.507685,0.428836,5
0.172062,0.291191,0.194972,0.175392,0.420512,0.095345,1
0.259439,0.152964,0.241965,0.199726,0.414032,0.125911,1
0.23887,0.116502,0.326567,0.296406,0.417059,0.099255,1
0.206329,0.185735,0.277389,0.243127,0.423253,0.111404,1
0.230395,0.147523,0.203585,0.168475,0.421401,0.114413,1
0.215715,0.123745,0.274865,0.20851,0.419053,0.095501,1
0.22732,0.22258,0.274119,0.232078,0.447558,0.11192,1
0.230197,0.37474,0.274022,0.243439,0.431985,0.124779,1
0.358186,0.223633,0.44812,0.361905,0.442475,0.346393,2
0.362338,0.370709,0.429561,0.446488,0.505392,0.321693,2
0.346962,0.676513,0.315538,0.38907,0.507957,0.272819,2
0.292641,0.618049,0.330705,0.3554,0.476473,0.227406,2
0.406406,0.537333,0.547718,0.647654,0.461237,0.245817,3
0.355426,0.291364,0.573389,0.651315,0.485517,0.240247,3
0.377862,0.510353,0.631724,0.713987,0.617877,0.260759,3
0.396496,0.462483,0.345438,0.375355,0.467392,0.245927,3
0.564973,0.678978,0.368698,0.430202,0.484227,0.391409,3
0.336458,0.330084,0.332019,0.366942,0.45129,0.145965,4
0.334652,0.256423,0.330254,0.285545,0.452982,0.194117,4
0.356564,0.345482,0.278743,0.280991,0.472464,0.179514,5
0.531583,0.510558,0.407507,0.473745,0.450818,0.318213,1
0.419507,0.452857,0.500874,0.62859,0.43886,0.261924,1
0.478034,0.334204,0.485956,0.612496,0.436938,0.217619,1
0.541748,0.477183,0.435848,0.54381,0.445965,0.167213,1
0.485828,0.349525,0.467796,0.620752,0.443714,0.310986,1
0.355909,0.263023,0.358851,0.444282,0.352811,0.234437,1
0.50788,0.71667,0.462796,0.619102,0.443907,0.364938,1
0.488302,0.607248,0.362191,0.38078,0.468119,0.310086,2
0.462926,0.629708,0.36177,0.412927,0.438303,0.24135,2
0.516829,0.573146,0.331917,0.341003,0.47731,0.283374,2
0.499669,0.260236,0.318116,0.339484,0.423144,0.215125,2
0.501293,0.187988,0.287699,0.295454,0.424238,0.273546,2
0.477096,0.19515,0.35772,0.382659,0.429878,0.255228,2
0.519497,0.316155,0.328685,0.313683,0.428058,0.373391,3
0.44409,0.236193,0.334264,0.283792,0.422419,0.3405,3
0.568753,0.153507,0.317503,0.300223,0.42144,0.327176,3
0.647079,0.132763,0.311245,0.252404,0.414936,0.368589,3
0.557725,0.125894,0.291031,0.25093,0.414271,0.294738,3
0.566836,0.27459,0.282393,0.290664,0.419609,0.355326,3
0.569064,0.369885,0.366828,0.339772,0.419538,0.3137,4
0.604829,0.419783,0.297859,0.271591,0.421859,0.303896,4
0.628623,0.4905,0.298514,0.271201,0.419362,0.37193,4
0.626389,0.573413,0.293528,0.257191,0.428005,0.363973,5
0.480194,0.33978,0.277722,0.345839,0.426112,0.250855,1
0.243086,0.389232,0.277442,0.315435,0.433288,0.143514,1
0.333659,0.264778,0.314197,0.3574,0.425527,0.223698,1
0.405452,0.229503,0.298609,0.364245,0.421628,0.248026,1
0.348822,0.186155,0.346374,0.402587,0.413591,0.209992,1
0.35293,0.236436,0.351406,0.380444,0.424649,0.253494,1
0.805584,0.647979,0.514498,0.537556,0.549331,0.527627,2
0.525282,0.541978,0.37369,0.410061,0.435255,0.374554,2
0.288346,0.403394,0.299818,0.353448,0.436857,0.182141,2
0.512953,0.294076,0.316537,0.31187,0.433861,0.412147,2
0.488271,0.236922,0.344964,0.42067,0.424629,0.424733,2
0.63026,0.471822,0.350991,0.421445,0.445731,0.565374,3
0.558076,0.223947,0.327776,0.378626,0.434562,0.542686,3
0.535281,0.191322,0.397878,0.457043,0.432908,0.401977,4
0.440638,0.24353,0.300441,0.338907,0.436415,0.316576,4
0.367954,0.280825,0.23827,0.264783,0.435218,0.377041,4
